Date,Prefecture,Newly confirmed cases,1
2020/01/19,Kagoshima,0,1
2020/01/19,Okinawa,0,1
2020/01/20,ALL,0,1
2020/01/20,Hokkaido,0,1
2020/01/20,Aomori,0,1
2020/01/20,Iwate,0,1
2020/01/20,Miyagi,0,1
2020/01/20,Akita,0,1
2020/01/20,Yamagata,0,1
2020/01/20,Fukushima,0,1
2020/01/20,Ibaraki,0,1
2020/01/20,Tochigi,0,1
2020/01/20,Gunma,0,1
2020/01/20,Saitama,0,1
2020/01/20,Chiba,0,1
2020/01/20,Tokyo,0,1
2020/01/20,Kanagawa,0,1
2020/01/20,Niigata,0,1
2020/01/20,Toyama,0,1
2020/01/20,Ishikawa,0,1
2020/01/20,Fukui,0,1
2020/01/20,Yamanashi,0,1
2020/01/20,Nagano,0,1
2020/01/20,Gifu,0,1
2020/01/20,Shizuoka,0,1
2020/01/20,Aichi,0,1
2020/01/20,Mie,0,1
2020/01/20,Shiga,0,1
2020/01/20,Kyoto,13,1
2020/01/20,Osaka,0,1
2020/01/20,Hyogo,0,1
2020/01/20,Nara,0,1
2020/01/20,Wakayama,0,1
2020/01/20,Tottori,0,1
2020/01/20,Shimane,0,1
2020/01/20,Okayama,0,1
2020/01/20,Hiroshima,0,1
2020/01/20,Yamaguchi,0,1
2020/01/20,Tokushima,0,1
2020/01/20,Kagawa,0,1
2020/01/20,Ehime,0,1
2020/01/20,Kochi,0,1
2020/01/20,Fukuoka,0,1
2020/01/20,Saga,0,1
2020/01/20,Nagasaki,0,1
2020/01/20,Kumamoto,0,1
2020/01/20,Oita,0,1
2020/01/20,Miyazaki,0,1
2020/01/20,Kagoshima,0,1
2020/01/20,Okinawa,0,1
2020/01/21,ALL,0,1
2020/01/21,Hokkaido,0,1
2020/01/21,Aomori,0,1
2020/01/21,Iwate,0,1
2020/01/21,Miyagi,0,1
2020/01/21,Akita,0,1
2020/01/21,Yamagata,0,1
2020/01/21,Fukushima,0,1
2020/01/21,Ibaraki,0,1
2020/01/21,Tochigi,0,1
2020/01/21,Gunma,0,1
2020/01/21,Saitama,0,1
2020/01/21,Chiba,0,1
2020/01/21,Tokyo,0,1
2020/01/21,Kanagawa,0,1
2020/01/21,Niigata,0,1
2020/01/21,Toyama,0,1
2020/01/21,Ishikawa,0,1
2020/01/21,Fukui,0,1
2020/01/21,Yamanashi,0,1
2020/01/21,Nagano,0,1
2020/01/21,Gifu,0,1
2020/01/21,Shizuoka,0,1
2020/01/21,Aichi,0,1
2020/01/21,Mie,0,1
2020/01/21,Shiga,0,1
2020/01/21,Kyoto,0,1
2020/01/21,Osaka,0,1
2020/01/21,Hyogo,0,1
2020/01/21,Nara,0,1
2020/01/21,Wakayama,0,1
2020/01/21,Tottori,0,1
2020/01/21,Shimane,0,1
2020/01/21,Okayama,0,1
2020/01/21,Hiroshima,0,1
2020/01/21,Yamaguchi,0,1
2020/01/21,Tokushima,0,1
2020/01/21,Kagawa,0,1
2020/01/21,Ehime,0,1
2020/01/21,Kochi,0,1
2020/01/21,Fukuoka,0,1
2020/01/21,Saga,0,1
2020/01/21,Nagasaki,0,1
2020/01/21,Kumamoto,0,1
2020/01/21,Oita,0,1
2020/01/21,Miyazaki,0,1
2020/01/21,Kagoshima,0,1
2020/01/21,Okinawa,0,1
2020/01/22,ALL,0,1
2020/01/22,Hokkaido,0,1
2020/01/22,Aomori,0,1
2020/01/22,Iwate,0,1
